email_text,is_phishing
"URGENT: Your M-Pesa account is locked. Click to unlock: http://mpesa-security-update.com",1
"KRA TAX REFUND: You have 12,560 KSH unclaimed. Submit details here: http://kra-refund.co.ke",1
"JOB OFFER: Equity Bank is hiring customer service agents. Earn 50K/day. Apply now!",1
"Hi David, please find attached the invoice for your order #12345.",0
"NCBA Bank Alert: Someone logged into your account from Nairobi. Verify now: http://ncba-secure.com",1
"Dear Customer, your Safaricom airtime bonus is ready. Claim via http://freeairtime.co.ke",1
"Team, the project meeting is rescheduled to Friday at 10 AM. Regards, Manager",0
"WINNER! You won a Samsung Galaxy in Safaricom's promo. Click http://saf-promo.com to claim!",1
"Hello, your DStv subscription expires today. Renew now at http://dstv-payments.com",1
"Reminder: Submit your monthly report by EOD. - HR Department",0
